mc_id,mc_name,mc_url
ADAM,A.G.P. / ALLIANCE GLOBAL PARTNERS,https://vrs.vista-one-solutions.com/sec605rule.aspx
ALNC,A.G.P. / ALLIANCE GLOBAL PARTNERS,https://vrs.vista-one-solutions.com/sec605rule.aspx
BARD,ROBERT W. BAIRD & CO. INCORPORATED,https://public.s3.com/rule605/bard/
BBOK,BARCLAYS CAPITAL INC.,https://vrs.vista-one-solutions.com/sec605rule.aspx
BERN,BERNSTEIN SANFORD C & CO. LLC,https://vrs.vista-one-solutions.com/sec605rule.aspx
BMOC,BMO CAPITAL MARKETS,https://vrs.vista-one-solutions.com/sec605rule.aspx
BTIG,BTIG LLC,https://vrs.vista-one-solutions.com/sec605rule.aspx
CANT,CANTOR FITZGERALD & CO.,https://vrs.vista-one-solutions.com/sec605rule.aspx
CDRG,CITADEL SECURITIES LLC,http://www.citadelsecurities.com/rule-605-606-statements/
CODA,CODA Markets Inc.,https://public.s3.com/rule605/coda/
COWN,COWEN AND COMPANY LLC,http://disclosures.bestxstats.com/cown/
CSTI,Canaccord Genuity Inc.,https://vrs.vista-one-solutions.com/sec605rule.aspx
DADA,DAVIDSON (D.A.) & CO. INC.,https://vrs.vista-one-solutions.com/sec605rule.aspx
DAWA,DAIWA CAPITAL MARKETS AMERICA INC.,https://ecsdashboard.jandj.com/public/d4568e59-8f68-d4d7-9c90-b6a0d29ab1c6
DOWL,DOWLING & PARTNERS SECURITIES LLC,http://private.bestxstats.com/605_public/?bxs_mpid=dowling
EBXL,LEVEL ATS,https://www.levelats.com/order-execution-disclosure
EDJO,Edward Jones,https://vrs.vista-one-solutions.com/sec605rule.aspx
ETMM,G1 Execution Services,https://vrs.vista-one-solutions.com/sec605rule.aspx
FBCO,CREDIT SUISSE SECURITIES (USA) LLC,https://bestex.credit-suisse.com/index.html
GSCO,GOLDMAN SACHS AND COMPANY,https://www.goldmansachs.com/compliance-rule605/index.html
GTSZ,GTS Securities LLC,http://finra-605.s3-website-us-east-1.amazonaws.com/
GUGS,GUGGENHEIM SECURITIES LLC,http://www.guggenheimpartners.com/services/securities/sales-trading
HRTF,HRT Financial LP,https://external.s3.com/rule605/hrtf/
