"","participant","market_center","date","ticker","order_type","order_size","total_orders","total_shrs","cancelled_shrs","mc_exec_shrs","away_exec_shrs","shrs_0to9sec","shrs_10to29sec","shrs_30to59sec","shrs_60to299sec","shrs_5to30min","avg_realzd_spread","avg_effec_spread","px_improved_shrs","px_improved_avg_amt","px_improved_avg_secs","at_quote_shrs","at_quote_avg_secs","outside_quote_shrs","outside_quote_avg_amt","outside_quote_avg_sec","in_sp500","in_r1000","on_nyse","on_nasdaq","on_amex","mcaway_exec_shrs","net_pi_numerator","net_pi_mcaway","avg_quoted_spread_mcaway","effective_over_quoted_mcaway","eoq_wgt"
"1","T","TCDRG","202212","A","mkt_ordr","100-499",347,63813,0,63813,0,63813,0,0,0,0,-0.0308,0.0237,62920,0.0519,0,502,0,391,0.0282,0,TRUE,TRUE,TRUE,FALSE,FALSE,63813,325452.18,5.10009214423393,12.5701842884679,0.188541388543864,802141.17
"2","T","TCDRG","202212","AA","mkt_ordr","100-499",2682,502754,498,502256,0,502256,0,0,0,0,0.0044,0.0043,495284,0.0132,0,5947,0,1025,0.0163,0.1,TRUE,TRUE,TRUE,FALSE,FALSE,502256,652104.13,1.29835010432927,3.02670020865853,0.142068910151687,1520178.34
"3","T","TCDRG","202212","AAA","mkt_ordr","100-499",1,100,0,100,0,100,0,0,0,0,0.04,0.04,100,0.01,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,100,100,1,6,0.666666666666667,600
"4","T","TCDRG","202212","AAAU","mkt_ordr","100-499",301,50675,0,50675,0,50675,0,0,0,0,6e-04,0.0015,46493,0.0046,0,4182,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,50675,21386.78,0.422038085841145,0.994076171682289,0.150893869376381,50374.81
"5","T","TCDRG","202212","AAC","mkt_ordr","100-499",23,3920,0,3920,0,3920,0,0,0,0,0.0032,0.0032,3920,0.0035,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,3920,1372,0.35,1.02,0.313725490196078,3998.4
"6","T","TCDRG","202212","AAC U","mkt_ordr","100-499",3,416,0,416,0,416,0,0,0,0,0.0598,0.0598,200,0.0308,0,216,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,416,616,1.48076923076923,8.94153846153846,0.668788713007571,3719.68
"7","T","TCDRG","202212","AAC WS","mkt_ordr","100-499",4,970,0,970,0,970,0,0,0,0,0.0415,0.035,150,0.001,0,820,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,970,15,0.0154639175257732,3.53092783505155,0.991240875912409,3425
"8","T","TCDRG","202212","AACG","mkt_ordr","100-499",9,1640,0,1640,0,1640,0,0,0,0,0.0707,0.0732,1640,0.0107,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1640,1754.8,1.07,9.46,0.773784355179704,15514.4
"9","T","TCDRG","202212","AACI","mkt_ordr","100-499",1,398,0,398,0,398,0,0,0,0,0.05,0.05,398,0.01,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,398,398,1,7,0.714285714285714,2786
"10","T","TCDRG","202212","AACIW","mkt_ordr","100-499",4,600,0,410,190,600,0,0,0,0,0.0145,0.0167,110,0.0176,0,490,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,600,193.6,0.322666666666667,2.31533333333333,0.721278433630867,1389.2
"11","T","TCDRG","202212","AADI","mkt_ordr","100-499",60,10219,0,10219,0,10219,0,0,0,0,0.0174,0.0217,10119,0.0188,0,100,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,10219,19023.72,1.86160289656522,5.89320579313044,0.368220638507061,60222.67
"12","T","TCDRG","202212","AADR","mkt_ordr","100-499",8,1679,0,1679,0,1679,0,0,0,0,0.2558,0.2376,1679,0.0335,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1679,5624.65,3.35,30.46,0.780039395929087,51142.34
"13","T","TCDRG","202212","AAIC","mkt_ordr","100-499",37,8445,0,8445,0,8445,0,0,0,0,0.0084,0.0105,6772,0.0035,0,1513,0,160,0.02,0,FALSE,FALSE,FALSE,FALSE,FALSE,8445,2050.2,0.242770870337478,1.53554174067496,0.683797758267689,12967.65
"14","T","TCDRG","202212","AAIC B","mkt_ordr","100-499",4,828,0,828,0,828,0,0,0,0,0.4637,0.5983,735,0.1959,0,0,NA,93,0.24,0,FALSE,FALSE,FALSE,FALSE,FALSE,828,12166.65,14.6940217391304,89.2180434782609,0.67060425971545,73872.54
"15","T","TCDRG","202212","AAIC C","mkt_ordr","100-499",4,450,0,450,0,450,0,0,0,0,0.1317,0.1317,250,0.0125,0,200,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,450,312.5,0.694444444444444,14.5588888888889,0.90460199954209,6551.5
"16","T","TCDRG","202212","AAIN","mkt_ordr","100-499",9,1325,0,1325,0,1325,0,0,0,0,0.1575,0.3534,1213,0.0539,0,112,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1325,6538.07,4.93439245283019,45.2087849056604,0.781706477485424,59901.64
"17","T","TCDRG","202212","AAL","mkt_ordr","100-499",8545,1639882,0,1639582,0,1639582,0,0,0,0,-0.0024,-3e-04,1632231,0.0051,0,7151,0,200,0.0061,0,FALSE,TRUE,FALSE,TRUE,FALSE,1639582,832315.81,0.507639026288408,0.985278052576815,-0.0304482576482247,1615444.16
"18","T","TCDRG","202212","AAM A","mkt_ordr","100-499",63,10750,0,10750,0,10750,0,0,0,0,0.1075,0.1138,10450,0.0559,0,259,0,41,0.05,0,FALSE,FALSE,FALSE,FALSE,FALSE,10750,58210.5,5.41493023255814,22.2098604651163,0.512385029067332,238756
"19","T","TCDRG","202212","AAM B","mkt_ordr","100-499",76,12300,0,12300,0,12300,0,0,0,0,0.1916,0.2022,11952,0.049,0,256,0,92,0.0299,0,FALSE,FALSE,FALSE,FALSE,FALSE,12300,58289.72,4.73900162601626,29.6980032520325,0.680853855001721,365285.44
"20","T","TCDRG","202212","AAMC","mkt_ordr","100-499",4,520,0,520,0,520,0,0,0,0,0.4655,0.3155,520,0.0557,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,520,2896.4,5.57,42.69,0.739048957601312,22198.8
"21","T","TCDRG","202212","AAME","mkt_ordr","100-499",9,1981,0,1981,0,1981,0,0,0,0,0.0527,0.0467,1183,0.0113,0,599,0,199,0.015,0,FALSE,FALSE,FALSE,TRUE,FALSE,1981,1038.29,0.524124179707219,5.71824835941444,0.816683660182647,11327.85
"22","T","TCDRG","202212","AAN","mkt_ordr","100-499",55,11752,0,11752,0,11752,0,0,0,0,0.0165,0.0119,11017,0.0088,0,591,0,144,0.03,0,FALSE,TRUE,TRUE,FALSE,FALSE,11752,9262.96,0.788202859087815,2.76640571817563,0.430161054172767,32510.8
"23","T","TCDRG","202212","AAOI","mkt_ordr","100-499",66,13934,0,13934,0,13934,0,0,0,0,0.017,0.0099,13408,0.005,0,526,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,13934,6704,0.48112530500933,1.95225061001866,0.507107025562941,27202.66
"24","T","TCDRG","202212","AAON","mkt_ordr","100-499",69,13201,0,13201,0,13201,0,0,0,0,0.0764,0.1524,12885,0.1268,0,40,0,276,0.1086,0,FALSE,FALSE,FALSE,TRUE,FALSE,13201,160384.44,12.1494159533369,39.5388319066737,0.385443860252929,521952.12
"25","T","TCDRG","202212","AAP","mkt_ordr","100-499",1033,183269,0,183269,0,183269,0,0,0,0,0.0264,0.0369,180091,0.047,0,1749,0,1429,0.0406,0,FALSE,TRUE,TRUE,FALSE,FALSE,183269,840625.96,4.58684207367313,12.8636841473463,0.286854058116876,2357514.53
"26","T","TCDRG","202212","AAPB","mkt_ordr","100-499",10,2213,0,2213,0,2213,0,0,0,0,0.0721,0.0344,1339,0.0016,0,574,0.7,300,0.0039,1,FALSE,FALSE,FALSE,FALSE,FALSE,2213,97.24,0.0439403524627203,3.52788070492544,0.975089660825904,7807.2
"27","T","TCDRG","202212","AAPD","mkt_ordr","100-499",615,112614,0,112614,0,112614,0,0,0,0,-0.0106,0.0033,103030,0.0068,0,9024,0,560,0.019,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,112614,68996.4,0.61268048377644,1.55536096755288,0.212169397898164,175155.42
